Zone Identifier;Source Identifier;Company Code;Posting Date;Financial Period;GCOA Account;Local Account;Cost Center;Cognos Account;Cognos Dimension;Measure Code;Currency;Amount
"MEX";"Budget";"3011";"";"2016M09";"6300005";"60000007";"210CA70070";"403001";"SM00";"BUDGET";"MXN";82056.87000
"MEX";"Budget";"3012";"";"2016M08";"6200553";"60000801";"210CB300C0";"405301";"SM00";"BUDGET";"MXN";15559.59000
"MEX";"Budget";"3013";"";"2016M07";"6300000";"60000003";"210CC80090";"404001";"SM00";"BUDGET";"MXN";26.57000
"MEX";"Budget";"3014";"";"2016M08";"6022000";"60000807";"210CD300C0";"405301";"SM00";"BUDGET";"MXN";79.26000
"MEX";"Budget";"3015";"";"2016M09";"6304010";"60000081";"210CE300C0";"405301";"SM00";"BUDGET";"MXN";1329.31000
"MEX";"Budget";"3016";"";"2016M08";"6302000";"60000013";"210CF300C0";"405301";"SM00";"BUDGET";"MXN";12671.53000
"MEX";"Budget";"3017";"";"2016M06";"6412011";"60001424";"210CGA0080";"404000";"SM00";"BUDGET";"MXN";4381.81000
"MEX";"Budget";"3018";"";"2016M05";"6100503";"60003128";"210CH300C0";"405301";"SM00";"BUDGET";"MXN";966289.39000
"MEX";"Budget";"3019";"";"2016M02";"6302006";"60000048";"210CIA0090";"404001";"SM00";"BUDGET";"MXN";-3661.76000
"MEX";"Budget";"3019";"";"2016M12";"6300000";"60000021";"210CI300C0";"405301";"SM00";"BUDGET";"MXN";18769.47000
"MEX";"Budget";"3021";"";"2016M06";"6103002";"60001004";"210CK300C0";"405301";"SM00";"BUDGET";"MXN";240.46000
"MEX";"Budget";"3022";"";"2016M12";"6201007";"60000525";"210CLA0090";"404001";"SM00";"BUDGET";"MXN";59361.69000
"MEX";"Budget";"3023";"";"2016M12";"6200559";"60001700";"220CM20150";"405102";"SM01";"BUDGET";"MXN";129.02000
"MEX";"Budget";"3025";"";"2016M01";"6105014";"60000919";"270CO500F0";"405300";"ZM02";"BUDGET";"MXN";50654.90000
"MEX";"Budget";"3026";"";"2016M07";"6106501";"60001100";"210CP300C0";"405301";"SM00";"BUDGET";"MXN";25780.24000
"MEX";"Budget";"3027";"";"2016M11";"6201024";"60003050";"210CQA0090";"404001";"SM00";"BUDGET";"MXN";3895.55000
"MEX";"Budget";"3028";"";"2016M12";"6104501";"60005012";"210CRA0080";"404000";"SM00";"BUDGET";"MXN";371.19000
"MEX";"Budget";"3031";"";"2016M06";"6106002";"60003121";"210CU20050";"405102";"SM00";"BUDGET";"MXN";40054.00000
"MEX";"Budget";"4502";"";"2016M06";"6105014";"60000919";"67042500F0";"405300";"ZM02";"BUDGET";"MXN";1288.79000
"MEX";"Budget";"5003";"";"2016M07";"6106006";"60003152";"66045503C0";"405301";"ZM01";"BUDGET";"MXN";1821.96000
"MEX";"Budget";"6501";"";"2016M02";"6105013";"60000909";"570415C6F0";"405300";"ZM02";"BUDGET";"MXN";160526.39000
"MEX";"Budget";"6501";"";"2016M05";"6309501";"60000027";"660K5";"405301";"ZM01";"BUDGET";"MXN";272.61000
"MEX";"Budget";"6501";"";"2016M09";"6103008";"60001014";"580I19E5C0";"405301";"ZM03";"BUDGET";"MXN";1317.42000
"MEX";"Budget";"6501";"";"2016M12";"6300005";"60000007";"580R14B3C0";"405301";"ZM03";"BUDGET";"MXN";5097.98000
"MEX";"Budget";"6504";"";"2016M07";"6300000";"60000001";"5705M593F0";"405300";"ZM02";"BUDGET";"MXN";2314734.21000
"MEX";"Budget";"7301";"";"2016M03";"6024004";"60000307";"210CR41FC0";"405301";"SM00";"BUDGET";"MXN";2461.69000
"MEX";"LE BBP 2016-01";"1001";"";"2016M02";;"";"";;"";"LE";"MXN";35288.91667
"MEX";"LE BBP 2016-01";"1001";"";"2016M09";;"";"";;"";"LE";"MXN";-13876.26309
"MEX";"SAP";"1513";"";"2016M02";"6300000";"60000043";"750T3M00A0";"405000";"ZM00";"ACTUAL";"MXN";551.32000
"MEX";"SAP";"2005";"";"2016M02";"6300000";"60000003";"190N5337C0";"405301";"ZM04";"ACTUAL";"MXN";500.00000
"MEX";"SAP";"2013";"";"2016M02";"6025000";"60000217";"190NDC05A0";"405000";"ZM04";"ACTUAL";"MXN";3783.60000
"MEX";"SAP";"3003";"";"2016M02";"6103002";"60001004";"210C3300C0";"405301";"SM00";"ACTUAL";"MXN";755.17000
"MEX";"SAP";"3005";"";"2016M02";"6300000";"60000043";"210C5300C0";"405301";"SM00";"ACTUAL";"MXN";1161.33000
"MEX";"SAP";"3008";"";"2016M02";"6022000";"60000807";"210C7A1090";"404001";"SM00";"ACTUAL";"MXN";67.15000
"MEX";"SAP";"3010";"";"2016M02";"6300005";"60000009";"210C920050";"405102";"SM00";"ACTUAL";"MXN";21365.38000
"MEX";"SAP";"3012";"";"2016M02";"6104553";"60005083";"210CBA1D80";"404000";"SM00";"ACTUAL";"MXN";73615.25000
"MEX";"SAP";"3016";"";"2016M02";"6302001";"60003013";"210CF312C0";"405301";"SM00";"ACTUAL";"MXN";659.00000
"MEX";"SAP";"3018";"";"2016M02";"6302000";"60000013";"210CH305C0";"405301";"SM00";"ACTUAL";"MXN";648.76000
"MEX";"SAP";"3021";"";"2016M02";"6300000";"60000036";"210CK307C0";"405301";"SM00";"ACTUAL";"MXN";34.33000
"MEX";"SAP";"3025";"";"2016M02";"6104553";"60005083";"210COA1880";"404000";"SM00";"ACTUAL";"MXN";1039269.12000
"MEX";"SAP";"3027";"";"2016M02";"6300005";"60000010";"210CQ21350";"405102";"SM00";"ACTUAL";"MXN";601.92000
"MEX";"SAP";"3031";"";"2016M02";"6302006";"60000033";"210CU20050";"405102";"SM00";"ACTUAL";"MXN";4946.16000
"MEX";"SAP";"6501";"";"2016M02";"6103008";"60001014";"570I19I6C0";"405301";"ZM02";"ACTUAL";"MXN";285.00000
"MEX";"SAP";"6501";"";"2016M02";"6302006";"60000034";"580C1AI3C0";"405301";"ZM03";"ACTUAL";"MXN";5160.00000
"MEX";"Budget";"1003";"";"2016M03";"6103555";"60005113";"R11303A166";"403000";"SM00";"BUDGET";"MXN";300379.11000
"MEX";"Budget";"1511";"";"2016M04";"6105006";"60000906";"570415T3F0";"405300";"ZM02";"BUDGET";"MXN";21105.00000
"MEX";"Budget";"1513";"";"2016M02";"6014001";"60001421";"750T3F0040";"405101";"ZM00";"BUDGET";"MXN";31567.83000
"MEX";"Budget";"1521";"";"2016M07";"6202000";"60000700";"750T5600C0";"405301";"ZM00";"BUDGET";"MXN";6201.97000
"MEX";"Budget";"1561";"";"2016M06";"6025010";"60000218";"750KFM00A0";"405000";"ZM00";"BUDGET";"MXN";17839.18000
"MEX";"Budget";"2001";"";"2016M04";"6100500";"60003104";"190N1F45A0";"405000";"ZM04";"BUDGET";"MXN";5722.96000
"MEX";"Budget";"2001";"";"2016M10";"6105524";"60000633";"190N1101C0";"405301";"ZM04";"BUDGET";"MXN";5000.00000
"MEX";"Budget";"2003";"";"2016M05";"6025011";"60004204";"190N3D23A0";"405000";"ZM04";"BUDGET";"MXN";6307.80000
"MEX";"Budget";"2003";"";"2016M12";"6020000";"60000300";"190N3D33A0";"405000";"ZM04";"BUDGET";"MXN";42266.73000
"MEX";"Budget";"2005";"";"2016M04";"6103002";"60001004";"190N5B02A0";"405000";"ZM04";"BUDGET";"MXN";1015.54000
"MEX";"Budget";"2005";"";"2016M08";"6106002";"60003121";"190N5D33A0";"405000";"ZM04";"BUDGET";"MXN";21100.59000
"MEX";"Budget";"2005";"";"2016M12";"6304004";"60000080";"190N5D7140";"405101";"ZM04";"BUDGET";"MXN";16800.00000
"MEX";"Budget";"2007";"";"2016M04";"6104028";"60004518";"190N7D31A0";"405000";"ZM04";"BUDGET";"MXN";761.59000
"MEX";"Budget";"2007";"";"2016M08";"6103002";"60001004";"190N7D31A0";"405000";"ZM04";"BUDGET";"MXN";23.33000
"MEX";"Budget";"2007";"";"2016M12";"6101023";"60000216";"190N7D07A0";"405000";"ZM04";"BUDGET";"MXN";2082.32000
"MEX";"Budget";"2009";"";"2016M07";"6101027";"60000219";"190N9D36A0";"405000";"ZM04";"BUDGET";"MXN";1475.73000
"MEX";"Budget";"2011";"";"2016M03";"6105007";"60000925";"570415O2F0";"405300";"ZM02";"BUDGET";"MXN";12411.00000
"MEX";"Budget";"2011";"";"2016M12";"6300000";"60000001";"190NBD06A0";"405000";"ZM04";"BUDGET";"MXN";29636.36000
"MEX";"Budget";"2013";"";"2016M11";"6103544";"60005116";"110ND50A60";"403000";"SM00";"BUDGET";"MXN";67072.12000
"MEX";"Budget";"2021";"";"2016M06";"6302000";"60000013";"Na";"405301";"C706";"BUDGET";"MXN";53791.51000
"MEX";"Budget";"3001";"";"2016M06";"6103006";"60001007";"210C1300C0";"405301";"SM00";"BUDGET";"MXN";2793.00000
"MEX";"Budget";"3001";"";"2016M11";"6304502";"60000504";"210C170070";"403001";"SM00";"BUDGET";"MXN";11385.37000
"MEX";"Budget";"3002";"";"2016M06";"6308511";"60001034";"210C2A0090";"404001";"SM00";"BUDGET";"MXN";496.21000
"MEX";"Budget";"3003";"";"2016M02";"6103003";"60001011";"210C3400C0";"405301";"SM00";"BUDGET";"MXN";7216.18000
"MEX";"Budget";"3003";"";"2016M07";"6300000";"60000001";"210C3A0090";"404001";"SM00";"BUDGET";"MXN";1502203.87000
"MEX";"Budget";"3004";"";"2016M01";"6302000";"60000013";"210C4300C0";"405301";"SM00";"BUDGET";"MXN";2674.72000
"MEX";"Budget";"3004";"";"2016M06";"6300000";"60000049";"210C4300C0";"405301";"SM00";"BUDGET";"MXN";12116.10000
"MEX";"Budget";"3004";"";"2016M11";"6300000";"60000036";"210C420050";"405102";"SM00";"BUDGET";"MXN";28.34000
"MEX";"Budget";"3005";"";"2016M03";"6306000";"60003159";"210C5300C0";"405301";"SM00";"BUDGET";"MXN";34803.00000
"MEX";"Budget";"3005";"";"2016M08";"5310003";"41001103";"";"405500";"SM00";"BUDGET";"MXN";-68198.23000
"MEX";"Budget";"3005";"";"2016M12";"6200555";"60000800";"210C520050";"405102";"SM00";"BUDGET";"MXN";4190.55000
